Date,England,Northern Ireland,Scotland,United Kingdom,Wales
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,1,0,0,1,0
2020-03-07,2,0,0,2,0
2020-03-08,2,0,0,2,0
2020-03-09,3,0,0,3,0
2020-03-10,7,0,0,7,0
2020-03-11,7,0,0,7,0
2020-03-12,9,0,0,9,0
2020-03-13,10,0,0,10,0
2020-03-14,28,0,0,28,0
2020-03-15,42,0,0,42,0
2020-03-16,64,0,0,64,0
2020-03-17,79,0,0,79,0
2020-03-18,112,0,1,113,0
2020-03-19,154,0,2,156,0
2020-03-20,186,0,5,191,0
2020-03-21,240,0,5,247,2
2020-03-22,264,1,6,282,11
2020-03-23,331,1,9,356,15
2020-03-24,474,2,13,505,16
2020-03-25,652,4,15,692,21
2020-03-26,821,6,21,875,27
2020-03-27,1092,9,24,1158,33
2020-03-28,1371,12,32,1452,37
2020-03-29,1566,14,39,1666,47
2020-03-30,1919,20,40,2040,61
2020-03-31,2287,21,46,2422,68
2020-04-01,2900,27,68,3092,97
2020-04-02,3503,29,96,3744,116
2020-04-03,4157,35,125,4457,140
2020-04-04,4846,47,171,5217,153
2020-04-05,5424,55,217,5861,165
2020-04-06,5955,62,219,6428,192
2020-04-07,6964,69,221,7465,211
2020-04-08,7886,72,295,8497,244
2020-04-09,8877,77,365,9604,285
2020-04-10,9914,81,446,10755,314
2020-04-11,10660,91,494,11595,350
2020-04-12,11265,106,541,12280,368
2020-04-13,11959,117,565,13024,383
2020-04-14,12967,123,574,14066,402
2020-04-15,13698,133,614,14907,462
2020-04-16,14605,139,698,15936,494
2020-04-17,15432,157,778,16872,505
2020-04-18,16438,175,836,17982,533
2020-04-19,16820,192,892,18478,574
2020-04-20,17359,193,902,19037,583
2020-04-21,18479,206,914,20207,608
2020-04-22,19218,219,984,21044,623
2020-04-23,19819,249,1061,21769,640
2020-04-24,20642,262,1119,22773,750
2020-04-25,21380,277,1183,23613,773
2020-04-26,21723,293,1230,24033,787
2020-04-27,22029,298,1248,24370,795
2020-04-28,22900,308,1261,25281,812
2020-04-29,23530,328,1331,26074,885
2020-04-30,24090,337,1414,26748,907
2020-05-01,24744,346,1474,27488,924
2020-05-02,25263,364,1514,28109,968
2020-05-03,25508,375,1558,28423,982
2020-05-04,25765,380,1570,28711,996
2020-05-05,26421,386,1575,29404,1022
2020-05-06,26987,403,1619,30052,1043
2020-05-07,27411,417,1702,30591,1061
2020-05-08,27946,421,1761,31217,1089
2020-05-09,28223,425,1810,31556,1098
2020-05-10,28440,429,1846,31825,1110
2020-05-11,28630,434,1856,32035,1115
2020-05-12,29236,437,1861,32665,1131
2020-05-13,29648,446,1911,33158,1153
2020-05-14,29999,448,1972,33582,1163
2020-05-15,30334,453,2006,33965,1172
2020-05-16,30733,468,2052,34443,1190
2020-05-17,30846,472,2093,34613,1202
2020-05-18,30990,475,2102,34773,1206
2020-05-19,31511,481,2104,35319,1223
2020-05-20,31830,488,2133,35688,1237
2020-05-21,32104,493,2183,36026,1246
2020-05-22,32411,500,2220,36384,1253
2020-05-23,32661,503,2244,36667,1259
2020-05-24,33078,504,2260,37108,1266
2020-05-25,33183,505,2269,37230,1273
2020-05-26,33300,513,2272,37366,1281
2020-05-27,33712,513,2290,37807,1292
2020-05-28,34099,515,2303,38223,1306
2020-05-29,34448,517,2315,38596,1316
2020-05-30,34646,520,2330,38826,1330
2020-05-31,34727,521,2352,38941,1341
2020-06-01,34823,522,2361,39052,1346
2020-06-02,35140,523,2362,39378,1353
2020-06-03,35474,525,2374,39743,1370
2020-06-04,35624,533,2385,39920,1378
2020-06-05,35967,534,2394,40277,1382
2020-06-06,36149,535,2408,40484,1392
2020-06-07,36214,536,2414,40561,1397
2020-06-08,36266,536,2414,40616,1400
2020-06-09,36546,536,2414,40905,1409
2020-06-10,36780,536,2421,41155,1418
2020-06-11,36914,536,2433,41307,1424
2020-06-12,37102,537,2438,41511,1434
2020-06-13,37275,538,2441,41694,1440
2020-06-14,37301,540,2446,41730,1443
2020-06-15,37334,540,2447,41768,1447
2020-06-16,37561,540,2447,42003,1455
2020-06-17,37729,541,2452,42187,1465
2020-06-18,37851,542,2461,42324,1470
2020-06-19,38018,542,2463,42497,1474
2020-06-20,38140,543,2469,42627,1475
2020-06-21,38179,544,2471,42670,1476
2020-06-22,38193,544,2471,42685,1477
2020-06-23,38359,544,2471,42856,1482
2020-06-24,38500,545,2475,43010,1490
2020-06-25,38638,546,2479,43159,1496
2020-06-26,38820,546,2481,43345,1498
2020-06-27,38914,547,2481,43445,1503
2020-06-28,38947,548,2481,43481,1505
2020-06-29,38968,549,2481,43506,1508
2020-06-30,39119,550,2481,43661,1511
2020-07-01,39286,550,2484,43837,1517
2020-07-02,39366,550,2485,43926,1525
2020-07-03,39499,551,2486,44063,1527
2020-07-04,39558,553,2487,44130,1532
2020-07-05,39579,553,2487,44152,1533
2020-07-06,39595,553,2487,44168,1533
2020-07-07,39747,553,2487,44323,1536
2020-07-08,39868,553,2488,44449,1540
2020-07-09,39950,553,2489,44534,1542
2020-07-10,40045,553,2489,44629,1542
2020-07-11,40145,553,2489,44730,1543
2020-07-12,40166,553,2489,44751,1543
2020-07-13,40177,553,2489,44762,1543
2020-07-14,40311,555,2489,44900,1545
2020-07-15,40393,555,2489,44984,1547
2020-07-16,40459,555,2489,45050,1547
2020-07-17,40571,555,2490,45164,1548
2020-07-18,40611,555,2490,45204,1548
2020-07-19,40638,555,2490,45232,1549
2020-07-20,40649,555,2490,45243,1549
2020-07-21,40759,555,2490,45353,1549
2020-07-22,40837,555,2490,45432,1550
2020-07-23,40890,555,2490,45485,1550
2020-07-24,41013,555,2490,45608,1550
2020-07-25,41074,555,2490,45669,1550
2020-07-26,41087,555,2490,45683,1551
2020-07-27,41094,555,2490,45690,1551
2020-07-28,41213,555,2490,45809,1551
2020-07-29,41291,555,2490,45892,1556
2020-07-30,41329,555,2490,45930,1556
2020-07-31,41443,555,2490,46050,1562
2020-08-01,41515,555,2490,46124,1564
2020-08-02,41520,555,2490,46132,1567
2020-08-03,41529,555,2490,46141,1567
2020-08-04,41617,555,2490,46230,1568
2020-08-05,41680,555,2490,46295,1570
2020-08-06,41726,555,2490,46344,1573
2020-08-07,41817,555,2490,46442,1580
2020-08-08,41871,555,2490,46497,1581
2020-08-09,41879,555,2490,46505,1581
2020-08-10,41900,555,2490,46526,1581
2020-08-11,41900,555,2490,46526,1581
2020-08-12,41900,555,2490,46526,1581
2020-08-13,41900,555,2490,46526,1581
2020-08-14,41900,555,2490,46526,1581
2020-08-15,41900,555,2490,46526,1581
2020-08-16,41900,555,2490,46526,1581
2020-08-17,41900,555,2490,46526,1581
2020-08-18,41900,555,2490,46526,1581
2020-08-19,41900,555,2490,46526,1581
2020-08-20,41900,555,2490,46526,1581
2020-08-21,41900,555,2490,46526,1581
2020-08-22,41900,555,2490,46526,1581
2020-08-23,41900,555,2490,46526,1581
2020-08-24,41900,555,2490,46526,1581
2020-08-25,41900,555,2490,46526,1581
2020-08-26,41900,555,2490,46526,1581
2020-08-27,41900,555,2490,46526,1581
2020-08-28,41900,555,2490,46526,1581
2020-08-29,41900,555,2490,46526,1581
