Date,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2020-01-30,0,0,0,0,0,0,0,0,1
2020-01-31,0,0,0,0,0,0,0,0,1
2020-02-01,0,0,0,0,0,0,0,0,1
2020-02-02,0,0,0,0,0,0,0,0,1
2020-02-03,0,0,0,0,0,0,0,0,1
2020-02-04,0,0,0,0,0,0,0,0,1
2020-02-05,0,0,0,0,0,1,0,0,1
2020-02-06,0,0,0,0,0,1,0,0,1
2020-02-07,0,0,0,0,0,1,0,0,1
2020-02-08,0,0,0,0,0,5,0,0,1
2020-02-09,0,0,0,0,0,6,0,0,1
2020-02-10,0,0,0,0,0,6,0,0,1
2020-02-11,0,0,1,0,0,6,0,0,1
2020-02-12,0,0,1,0,0,6,0,0,1
2020-02-13,0,0,1,0,0,6,0,0,1
2020-02-14,0,0,1,0,0,6,0,0,1
2020-02-15,0,0,1,0,0,6,0,0,1
2020-02-16,0,0,1,0,0,6,0,0,1
2020-02-17,0,0,1,0,0,6,0,0,1
2020-02-18,0,0,1,0,0,6,0,0,1
2020-02-19,0,0,1,0,0,6,0,0,1
2020-02-20,0,0,1,0,0,6,0,0,1
2020-02-21,1,0,1,0,0,6,0,0,1
2020-02-22,1,0,1,0,0,6,0,0,1
2020-02-23,1,0,1,0,0,7,0,0,1
2020-02-24,1,0,2,0,0,8,0,0,1
2020-02-25,2,0,5,0,0,9,0,0,1
2020-02-26,2,1,7,0,0,9,1,0,1
2020-02-27,2,2,9,0,0,11,2,0,2
2020-02-28,3,4,12,0,1,13,2,0,4
2020-02-29,4,4,13,0,1,15,2,0,4
2020-03-01,5,5,17,0,8,15,5,2,6
2020-03-02,7,5,29,1,14,16,13,6,9
2020-03-03,14,12,35,1,21,25,23,7,13
2020-03-04,16,19,53,2,23,32,29,10,15
2020-03-05,19,20,67,4,33,36,33,16,17
2020-03-06,26,25,90,5,35,52,44,18,19
2020-03-07,30,28,104,7,41,56,46,23,24
2020-03-08,31,30,126,7,46,66,49,27,27
2020-03-09,41,34,179,10,53,90,54,35,34
2020-03-10,53,50,270,14,68,124,64,52,52
2020-03-11,78,64,453,15,85,174,78,81,62
2020-03-12,96,82,618,17,125,259,96,127,76
2020-03-13,118,119,754,23,166,312,126,167,88
2020-03-14,137,135,903,29,191,353,136,198,100
2020-03-15,163,170,1068,39,214,406,153,242,110
2020-03-16,197,193,1302,46,270,484,171,298,138
2020-03-17,230,232,1612,62,325,573,192,367,169
2020-03-18,279,306,1968,76,409,695,235,466,215
2020-03-19,345,362,2301,95,507,822,256,589,270
2020-03-20,398,432,2727,121,589,948,299,740,329
2020-03-21,467,508,3078,144,703,1077,341,865,406
2020-03-22,566,599,3515,164,820,1246,385,977,501
2020-03-23,683,795,4204,222,996,1527,447,1217,646
2020-03-24,819,960,4841,298,1251,1762,515,1467,802
2020-03-25,935,1148,5600,374,1506,2067,619,1707,953
2020-03-26,1089,1363,6367,471,1864,2387,737,2020,1132
2020-03-27,1226,1607,7188,573,2197,2719,866,2299,1286
2020-03-28,1385,1790,7765,686,2519,3058,968,2622,1493
2020-03-29,1514,1999,8360,793,2878,3354,1069,2988,1722
2020-03-30,1721,2299,9230,969,3384,3830,1232,3419,2007
2020-03-31,1998,2621,10166,1179,3940,4301,1372,3831,2327
2020-04-01,2294,2954,11145,1487,4558,4848,1555,4241,2625
2020-04-02,2507,3326,12217,1706,5238,5334,1738,4688,2867
2020-04-03,2766,3678,13198,1967,5920,5855,1925,5061,3160
2020-04-04,2955,3947,13964,2221,6524,6313,2099,5407,3363
2020-04-05,3103,4228,14599,2442,7148,6737,2252,5697,3582
2020-04-06,3318,4613,15459,2817,8018,7330,2438,6057,3903
2020-04-07,3545,5002,16412,3167,8808,8047,2650,6444,4241
2020-04-08,3733,5411,17286,3459,9659,8616,2886,6805,4559
2020-04-09,3966,5734,18085,3773,10463,9141,3132,7150,4863
2020-04-10,4139,6053,18699,4018,11064,9718,3366,7512,5162
2020-04-11,4313,6324,19220,4285,11675,10101,3539,7765,5423
2020-04-12,4527,6584,19720,4486,12163,10587,3717,8004,5692
2020-04-13,4699,6876,20320,4718,12771,11164,3911,8284,6018
2020-04-14,4909,7165,20924,4975,13404,11717,4096,8605,6334
2020-04-15,5127,7461,21584,5259,14101,12428,4307,8992,6807
2020-04-16,5394,7798,22160,5554,14880,13083,4569,9503,7182
2020-04-17,5650,8163,22738,5847,15459,13789,4809,9948,7533
2020-04-18,5845,8492,23140,6227,16317,14311,4977,10495,7898
2020-04-19,6091,8809,23536,6503,16924,14725,5178,10835,8315
2020-04-20,6278,9172,23970,6818,17597,15214,5360,11236,8716
2020-04-21,6497,9578,24437,7106,18289,15847,5586,11727,9066
2020-04-22,6831,10100,24833,7467,19200,16540,5872,12305,9630
2020-04-23,7103,10575,25356,7797,20059,17224,6153,12856,10079
2020-04-24,7401,10998,25734,8129,20809,17881,6403,13338,10671
2020-04-25,7646,11375,26067,8344,21358,18399,6603,13724,11086
2020-04-26,7889,11733,26377,8503,21786,18900,6857,14039,11507
2020-04-27,8208,12244,26794,8787,22409,19455,7178,14456,12017
2020-04-28,8480,12708,27105,9147,23117,20112,7454,14833,12503
2020-04-29,8858,13182,27536,9507,23913,20802,7802,15274,13215
2020-04-30,9152,13606,27961,9890,24685,21453,8046,15725,13794
2020-05-01,9446,14100,28317,10163,25410,21974,8310,16194,14416
2020-05-02,9644,14402,28566,10346,25821,22388,8518,16512,14801
